step	pg1
121	0.0060160000000000005
148	0.0051196
122	0.005982800000000001
149	0.0050864
150	0.005053200000000001
123	0.005949599999999999
151	0.00502
124	0.0059164000000000005
152	0.0049868000000000004
125	0.0058832
153	0.0049536
126	0.00585
154	0.0049204
127	0.005816800000000001
155	0.0048872
128	0.0057836
156	0.004854
129	0.005750399999999999
157	0.0048208
130	0.005717200000000001
158	0.0047876
131	0.005684000000000001
159	0.004754400000000001
132	0.0056508
160	0.0047212
133	0.0056176
161	0.004688
134	0.0055844
162	0.004654800000000001
135	0.005551200000000001
163	0.0046216
136	0.005518000000000001
164	0.0045884
165	0.004555200000000001
137	0.0054848
166	0.004521999999999999
138	0.0054516
167	0.0044888
139	0.0054184
168	0.0044556000000000005
140	0.0053852
169	0.0044224
141	0.005352
170	0.0043892
142	0.0053188
171	0.0043560000000000005
143	0.0052856
172	0.004322800000000001
144	0.005252400000000001
173	0.004289599999999999
145	0.0052192
174	0.0042564000000000005
175	0.004223200000000001
146	0.005186
176	0.00419
147	0.0051528
177	0.0041568
148	0.0051196
