step	pg1
22	0.009302799999999998
0	0.0009952153110047847
23	0.009269600000000001
1	0.0019885911961722486
24	0.0092364
2	0.0029753270813397126
25	0.0092032
3	0.003955422966507177
26	0.00917
4	0.004928878851674642
27	0.0091368
5	0.0058956947368421055
28	0.009103600000000002
6	0.006855870622009569
29	0.0090704
7	0.007809406507177033
30	0.0090372
8	0.008756302392344498
31	0.009004
9	0.009696558277511962
32	0.008970800000000001
10	0.009668
33	0.0089376
11	0.009668
34	0.0089044
12	0.0096348
35	0.008871200000000001
13	0.0096016
36	0.008837999999999999
14	0.009568400000000001
37	0.0088048
15	0.0095352
38	0.008771600000000001
16	0.009502
39	0.0087384
17	0.0094688
40	0.0087052
18	0.0094356
41	0.008672000000000001
19	0.0094024
42	0.0086388
20	0.0093692
43	0.0086056
21	0.009336
44	0.0085724
22	0.009302799999999998
45	0.008539199999999999
23	0.009269600000000001
46	0.008506
24	0.0092364
47	0.0084728
25	0.0092032
48	0.0084396
26	0.00917
49	0.0084064
27	0.0091368
50	0.008373199999999999
28	0.009103600000000002
51	0.00834
29	0.0090704
52	0.0083068
30	0.0090372
53	0.0082736
31	0.009004
54	0.0082404
32	0.008970800000000001
55	0.008207200000000001
33	0.0089376
56	0.008174
34	0.0089044
57	0.0081408
35	0.008871200000000001
58	0.008107600000000001
36	0.008837999999999999
59	0.008074399999999999
37	0.0088048
60	0.0080412
38	0.008771600000000001
61	0.008008000000000001
39	0.0087384
62	0.0079748
40	0.0087052
63	0.0079416
41	0.008672000000000001
64	0.0079084
42	0.0086388
65	0.0078752
43	0.0086056
66	0.007842
67	0.0078088
44	0.0085724
68	0.0077756
45	0.008539199999999999
69	0.007742400000000001
46	0.008506
70	0.0077092
47	0.0084728
71	0.007676
48	0.0084396
72	0.0076428
49	0.0084064
73	0.0076096
50	0.008373199999999999
74	0.0075764
51	0.00834
75	0.0075432
52	0.0083068
76	0.00751
53	0.0082736
77	0.007476799999999999
54	0.0082404
78	0.007443600000000001
55	0.008207200000000001
79	0.0074104
56	0.008174
80	0.0073772
57	0.0081408
81	0.007344000000000001
82	0.007310799999999999
58	0.008107600000000001
83	0.0072775999999999995
59	0.008074399999999999
84	0.007244400000000001
60	0.0080412
85	0.0072112
61	0.008008000000000001
86	0.007178
62	0.0079748
87	0.0071448
63	0.0079416
88	0.0071116
64	0.0079084
89	0.0070784
65	0.0078752
90	0.007045200000000001
66	0.007842
91	0.007011999999999999
67	0.0078088
92	0.006978799999999999
68	0.0077756
93	0.0069456000000000006
69	0.007742400000000001
94	0.0069124
70	0.0077092
95	0.0068792
71	0.007676
96	0.006846
97	0.006812799999999999
72	0.0076428
98	0.006779600000000001
73	0.0076096
99	0.0067464000000000005
74	0.0075764
100	0.006713199999999999
75	0.0075432
101	0.00668
76	0.00751
102	0.0066468000000000005
77	0.007476799999999999
103	0.0066136
78	0.007443600000000001
104	0.006580400000000001
79	0.0074104
105	0.0065471999999999995
106	0.006514
80	0.0073772
107	0.006480800000000001
81	0.007344000000000001
108	0.0064476
82	0.007310799999999999
109	0.006414400000000001
83	0.0072775999999999995
110	0.0063812
84	0.007244400000000001
111	0.0063479999999999995
85	0.0072112
112	0.006314800000000001
86	0.007178
113	0.006281600000000001
87	0.0071448
114	0.0062483999999999994
88	0.0071116
115	0.0062152
89	0.0070784
116	0.006182000000000001
90	0.007045200000000001
117	0.0061488
91	0.007011999999999999
118	0.0061156
92	0.006978799999999999
119	0.0060824
93	0.0069456000000000006
120	0.006049199999999999
94	0.0069124
121	0.0060160000000000005
95	0.0068792
122	0.005982800000000001
96	0.006846
123	0.005949599999999999
97	0.006812799999999999
124	0.0059164000000000005
98	0.006779600000000001
125	0.0058832
99	0.0067464000000000005
126	0.00585
100	0.006713199999999999
127	0.005816800000000001
101	0.00668
128	0.0057836
102	0.0066468000000000005
103	0.0066136
129	0.005750399999999999
104	0.006580400000000001
130	0.005717200000000001
105	0.0065471999999999995
131	0.005684000000000001
106	0.006514
132	0.0056508
107	0.006480800000000001
133	0.0056176
108	0.0064476
134	0.0055844
109	0.006414400000000001
135	0.005551200000000001
136	0.005518000000000001
110	0.0063812
137	0.0054848
111	0.0063479999999999995
138	0.0054516
112	0.006314800000000001
139	0.0054184
113	0.006281600000000001
140	0.0053852
114	0.0062483999999999994
141	0.005352
115	0.0062152
142	0.0053188
116	0.006182000000000001
143	0.0052856
117	0.0061488
144	0.005252400000000001
118	0.0061156
145	0.0052192
119	0.0060824
146	0.005186
120	0.006049199999999999
147	0.0051528
